,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Cebpa,-0.004759056,-0.010564152,-0.0063428367,1.1487821,-0.010896824,-0.005251351,0.7772563,-0.012510697,-0.009597785,-0.014044597,-0.010352987,-0.011269485,1.1614965,1.4350446,0.06005227,-0.014348912
EgrNab,0.5686971,1.0055304,0.49019533,0.32171127,1.4657317,-0.008417534,-0.0004595832,-0.0017249818,1.6822652,0.8864018,-0.0022772278,-0.004282315,0.15055542,0.052285925,-0.004772314,0.54788846
Eklf,-0.0047614966,-0.010566047,-0.0063392823,1.1492463,-0.010896983,-0.0052494546,0.77746344,-0.012507255,-0.009596437,-0.0140392715,-0.010347732,-0.011263546,1.1608921,1.4350494,0.05952727,-0.014347456
Fli1,-0.0047614966,-0.010566047,-0.0063392823,1.1492463,-0.010896983,-0.0052494546,0.77746344,-0.012507255,-0.009596437,-0.0140392715,-0.010347732,-0.011263546,1.1608921,1.4350494,0.05952727,-0.014347456
Fog1,-0.004199227,-0.010112298,-0.006121742,1.091299,-0.010389611,-0.0047932896,0.7928214,-0.012528362,-0.009329235,-0.014566892,-0.010207828,-0.010914622,1.150172,1.3838375,0.03938067,-0.014518338
Gata1,0.5424081,0.97539985,0.45693666,0.36689848,1.4223765,-0.008070693,-0.00040867797,-0.0020589728,1.5805982,0.82159317,-0.0025914104,-0.00445432,0.19815734,0.114197806,-0.004791797,0.47657868
Gata2,-0.004759056,-0.010564152,-0.0063428367,1.1487821,-0.010896824,-0.005251351,0.7772563,-0.012510697,-0.009597785,-0.014044597,-0.010352987,-0.011269485,1.1614965,1.4350446,0.06005227,-0.014348912
Gfi1,-0.004759056,-0.010564152,-0.0063428367,1.1487821,-0.010896824,-0.005251351,0.7772563,-0.012510697,-0.009597785,-0.014044597,-0.010352987,-0.011269485,1.1614965,1.4350446,0.06005227,-0.014348912
Pu1,-0.0047513763,-0.010577604,-0.006328188,1.1479166,-0.010896172,-0.005251992,0.77727705,-0.0125184115,-0.009590534,-0.014058997,-0.010356564,-0.011282504,1.1597263,1.433574,0.059820347,-0.014342212
Scl,-0.005398464,-0.0074873134,-0.0064870366,1.0340976,-0.005400428,-0.008036089,0.86245185,-0.0069759265,-0.0072195614,-0.008653734,-0.005084561,-0.008386928,0.99154806,1.1513839,0.35681978,-0.009842058
cJun,-0.004759056,-0.010564152,-0.0063428367,1.1487821,-0.010896824,-0.005251351,0.7772563,-0.012510697,-0.009597785,-0.014044597,-0.010352987,-0.011269485,1.1614965,1.4350446,0.06005227,-0.014348912
