,index
0,2
1,15
2,44
3,48
4,49
5,58
6,61
7,63
8,70
9,87
10,89
11,104
12,127
13,129
14,132
15,164
16,166
17,197
18,200
19,204
20,207
21,208
22,225
23,278
24,279
25,283
26,284
27,294
28,297
29,312
30,326
31,327
32,345
33,353
34,362
35,370
36,375
37,388
38,391
39,399
40,432
41,437
42,451
43,454
44,462
45,474
46,475
47,479
48,482
49,487
50,522
51,550
52,551
53,570
54,588
55,598
56,603
57,604
58,609
59,629
60,630
61,633
62,638
63,639
64,640
65,642
66,672
67,691
68,705
69,736
70,750
71,874
72,886
73,888
74,890
75,901
76,902
77,903
78,909
79,915
80,917
81,923
82,931
83,935
84,954
85,960
86,975
87,991
88,1003
89,1005
90,1015
91,1017
92,1019
93,1020
94,1021
95,1040
96,1043
97,1049
98,1056
99,1059
100,1073
101,1099
102,1111
103,1114
104,1116
105,1120
106,1126
107,1134
108,1167
109,1172
110,1176
111,1182
112,1208
113,1211
114,1219
115,1247
116,1249
117,1250
118,1261
119,1265
120,1270
121,1285
122,1293
123,1295
124,1296
125,1335
126,1364
127,1367
128,1372
129,1387
130,1401
131,1402
132,1411
133,1440
134,1459
135,1460
136,1461
137,1472
138,1477
139,1481
140,1491
141,1498
142,1508
143,1515
144,1517
145,1519
146,1520
147,1523
148,1529
149,1531
150,1534
151,1551
152,1553
153,1573
154,1574
155,1576
156,1584
157,1601
158,1617
159,1620
160,1679
161,1682
162,1722
163,1766
164,1786
165,1793
166,1804
167,1812
