tf_idx,target_idx,label
3778,8972,0
10462,3980,0
2394,9076,1
3133,8917,1
5711,3431,0
3135,7924,1
742,6476,0
2281,11338,1
12378,10499,1
3133,779,1
509,373,0
12378,5698,1
12378,2277,1
6370,5698,1
5667,7562,1
2988,5157,0
6862,3551,0
3670,6229,0
6659,11686,0
564,6393,1
3781,2972,0
7251,4637,0
6383,1003,0
12118,3257,1
2977,10402,0
10526,8571,1
11077,6967,0
3259,10671,0
10474,4364,1
3748,3394,1
566,2548,1
6383,10600,1
5710,10700,1
8558,4142,1
8425,2089,0
10499,7587,1
12378,1799,1
9930,110,0
9995,508,1
2281,2303,1
475,6356,0
2393,2524,0
2957,2196,1
2288,4898,0
8425,1748,1
2988,5323,0
6085,10714,1
8425,8427,1
9995,4667,1
1353,567,1
5712,10428,1
9734,5643,1
9913,7563,1
9916,11433,1
2447,4302,0
4856,5357,0
12662,5667,0
2537,9265,1
7251,4858,0
2957,11029,1
2281,2195,1
2988,4126,0
2991,8693,1
11732,11105,0
9995,1581,1
1345,5303,0
12593,7921,1
4622,7272,1
669,6403,0
9455,856,0
4420,2294,0
4313,10818,0
4623,11558,0
12366,12140,0
2987,353,1
2957,10298,1
565,4541,1
6383,1574,1
6672,1183,1
10474,7336,0
6383,5637,1
10501,2360,0
2977,11920,0
4420,11981,0
10474,10296,0
3135,5858,1
10502,1842,1
9816,7980,0
11077,12019,1
564,73,1
8575,2386,1
423,4770,1
5667,5701,1
7612,10532,1
10170,5577,0
11733,503,0
3133,2349,1
12118,2755,1
12124,11773,1
3729,4157,0
8999,9049,0
10167,3097,1
2957,2910,1
3135,4188,1
2987,713,1
3133,2560,1
12378,1317,1
565,7347,1
6411,9798,0
2343,1016,0
3135,1714,1
12184,5656,0
6858,7386,1
6383,3047,1
9932,6358,1
6853,1932,0
9453,11812,0
423,3696,1
8987,9784,0
2558,6373,1
6853,8707,0
6658,5132,0
3133,2116,1
6861,2521,0
3846,2091,1
8987,981,1
6383,7346,1
10585,7575,0
12378,5936,1
4308,12551,1
2921,9339,0
12322,705,0
6853,4931,0
6853,8616,0
7833,11415,0
11733,11698,1
7252,12230,1
2957,5604,1
12351,2947,1
6383,2374,1
6085,119,1
4253,3305,0
3799,965,0
10167,10613,1
12652,2729,0
7384,8930,0
3135,6374,1
2285,7739,0
3522,3107,0
2957,10878,1
6683,1190,0
8425,7332,0
1345,12257,0
3133,3698,1
564,11716,0
7836,6667,0
9996,11114,1
7842,5891,0
4622,565,1
9916,11338,1
12563,1216,0
2343,5021,0
12563,7645,0
509,893,0
9816,2574,0
2349,3509,0
3586,5441,0
6856,8294,1
5947,7315,0
