tf_idx,target_idx,label
1496,639,0
1462,454,0
1288,164,1
1208,1073,0
482,975,1
1460,345,1
1791,70,0
482,960,1
362,1296,1
1094,633,0
482,1722,1
1546,479,0
1473,1766,1
482,1529,1
482,197,1
482,462,1
220,474,1
482,127,1
1120,1766,1
482,1003,1
482,691,1
482,1296,1
1496,1182,0
1460,1766,0
482,327,1
482,294,1
1541,1679,0
1039,399,0
1120,63,1
482,1617,1
108,1073,1
1496,1211,1
909,923,1
482,204,1
1094,1804,0
383,345,0
362,132,1
1208,391,0
1473,1073,0
1546,604,0
482,1114,1
909,902,1
482,1126,1
1336,1099,1
482,915,1
108,479,0
1458,960,0
1456,63,0
482,640,1
482,1472,1
1094,1056,0
108,1003,0
1460,550,0
1473,1517,0
1039,1551,0
482,1073,1
1336,638,0
1396,1219,0
1458,132,0
1458,1020,1
1458,15,0
362,345,0
362,1481,1
1456,1459,1
909,550,0
1456,462,0
482,633,1
1541,1116,1
482,1265,1
362,1059,1
1094,1679,0
482,166,1
1288,61,1
1791,1508,0
1496,1551,0
362,1553,0
1546,1265,0
362,1247,0
1208,1367,0
220,1601,1
482,1804,1
1845,1372,0
1845,127,0
1473,1461,1
362,1517,0
482,1285,1
482,1111,1
1546,1120,0
1496,1017,0
1541,1372,0
1120,570,0
1456,960,0
1120,1551,0
482,15,1
1094,132,0
1120,437,1
1396,70,0
1541,1059,0
1458,1401,0
1541,15,0
909,1372,1
1208,297,0
909,1059,1
909,207,0
909,960,0
482,1574,1
362,1114,0
1546,362,0
362,487,0
482,1015,1
1546,1003,0
482,1491,1
482,672,1
482,1477,0
482,1573,1
1460,49,1
1039,1249,0
1336,1211,0
1456,609,0
1458,1523,0
362,522,0
1541,639,1
1288,1620,0
1456,1049,1
1845,705,0
482,1793,1
1456,1460,1
482,1682,1
1458,954,0
1541,629,0
909,705,0
1473,1116,1
482,370,1
909,874,0
482,551,1
108,164,0
1541,1440,0
1039,604,1
1039,1402,0
1039,888,0
220,1401,0
1473,70,1
1336,1553,1
1791,1679,0
1396,1249,0
108,1461,0
1462,1261,1
1496,890,0
909,1293,1
1496,399,1
362,1520,0
1208,1534,0
1288,1460,0
108,630,1
909,1551,1
220,1367,1
1845,638,0
1456,1126,0
1460,474,0
1791,691,0
482,1249,1
1462,1402,0
220,1440,0
909,1019,0
1541,923,0
1473,1208,1
383,49,1
1473,1534,1
108,353,0
482,609,1
1039,279,1
1791,1219,1
1094,375,0
383,127,0
1208,58,1
383,1534,0
108,294,0
383,204,0
1845,1019,0
1845,375,0
482,1519,1
909,640,1
220,462,0
1456,522,0
1460,388,0
1462,903,1
482,1520,1
220,551,0
482,1402,1
482,1812,1
362,48,1
1456,890,1
1094,129,1
1120,1440,1
482,1017,1
1546,1620,0
482,1387,1
1496,312,0
1396,917,1
1541,1620,0
1496,1517,1
1456,551,0
482,1786,1
362,1679,0
1791,87,0
220,44,1
1456,1003,1
482,1620,0
1039,1372,0
1460,1114,0
1541,1295,1
1546,1601,0
220,454,1
1791,1481,1
1496,1515,0
1460,1367,0
383,570,0
1473,1620,1
1496,604,1
1791,327,1
1288,454,0
1336,1250,1
1288,1601,0
1546,1019,0
1541,284,1
1541,1401,1
482,1172,1
1288,604,0
1094,1176,1
482,353,1
482,931,1
383,1520,0
482,362,1
1039,1295,1
482,1523,1
1541,200,1
1396,278,0
108,1679,0
1462,1367,0
482,63,1
482,1134,1
1094,1459,1
1473,1335,1
1120,1056,0
1473,63,0
1460,917,0
482,1517,1
482,454,1
1462,1005,1
383,353,0
1473,1120,1
1120,1295,0
1208,935,1
1791,901,0
362,1440,1
399,522,0
108,1551,0
1473,1040,0
1094,49,1
1120,132,0
1473,1553,0
1496,44,1
482,1099,1
1396,923,0
1456,1056,0
909,1285,0
909,1477,1
1460,1073,0
1541,886,1
399,1182,1
108,1219,0
1039,1367,0
1396,705,0
1458,1515,0
1458,629,0
482,1460,1
482,208,1
1208,917,0
1546,482,0
1288,1722,0
1456,630,0
220,129,0
482,991,1
1845,1208,0
220,87,1
1208,603,1
1462,279,0
482,70,1
1541,630,1
1288,1584,1
1336,1247,0
1120,1601,0
1473,890,0
1496,1049,0
482,388,1
482,1019,1
1496,640,1
220,642,1
362,1523,0
362,454,1
220,570,0
1288,672,0
1288,391,0
482,1411,1
482,588,1
482,1481,1
1496,736,0
1120,207,1
1462,391,1
482,1247,1
1791,1372,0
1120,1208,1
108,705,0
