,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Cebpa,0.65388286,-0.0021429178,-0.0005834765,1.0148909,-0.00035339413,0.28134018,-8.978836e-05,-0.013899959,-0.0018545518,-0.001586242,0.124823906,-0.012924063,0.148543,0.93181145,-0.015499061,0.6787156
EgrNab,0.069305465,-0.0035584783,-0.009043725,1.4386647,0.13957785,0.9429702,0.3812596,-0.015253183,-0.010120056,-0.0041743005,0.47616616,-0.014195346,0.6838594,1.2529452,-0.018002985,0.90724176
Eklf,-0.010973856,0.91909456,-0.0021205256,0.16634484,-0.0044686394,-0.0077637443,0.801724,-0.0087401485,0.28305364,0.3615197,0.81743705,0.6576528,-0.004807195,-0.0046126763,-0.020309942,-0.008903735
Fli1,-0.011785271,0.83634174,-0.0039982474,0.26716605,-0.003299239,-0.0061314707,0.94349205,-0.008429546,0.011394963,0.3128727,0.96715784,0.73766565,-0.0036939222,-0.0039633256,-0.02090577,-0.007473853
Fog1,-0.010308185,0.62564826,-0.004288321,0.37930185,-0.002037469,-0.0038652925,0.9039094,-0.008641293,-0.0024164,0.18887088,0.99377114,0.62665427,-0.0024548643,-0.002546897,-0.020581845,-0.0052877134
Gata1,-0.0033915052,1.0901078,0.7205536,0.027150244,-0.007221089,-0.010990123,0.13565496,-0.011195857,1.2125978,0.10483649,0.16125697,0.012624107,-0.0064132256,-0.00045071714,-0.015499967,-0.009208029
Gata2,-0.009520211,0.64659184,-0.0028713415,0.3325323,-0.0027517788,-0.004858801,0.8097627,-0.009209767,-0.0005693819,0.24711421,0.8917083,0.5464043,-0.0031015754,-0.0029855245,-0.020167446,-0.005792095
Gfi1,0.15182208,-0.0043935315,-0.009304683,1.463892,0.15965678,0.8290244,0.3608479,-0.014657272,-0.010445686,-0.0019313237,0.33846745,-0.015956854,0.43012026,1.1563115,-0.01971721,1.1568421
Pu1,0.88846767,-0.0014364738,0.3801089,0.8018409,-0.0016188443,0.02525606,-0.0014924699,-0.014681484,0.339354,-0.0018941682,0.03637737,-0.012537405,-0.00014709911,0.8244555,-0.013090403,0.5968907
Scl,-0.010098224,0.5712505,-0.0047292737,0.39359444,-0.0014732842,-0.0031595747,0.9099866,-0.00859937,-0.0036452084,0.17758083,1.0102656,0.6411579,-0.0016884181,-0.0017753553,-0.021038322,-0.004653299
cJun,-0.0004533975,-0.003228253,-0.010634316,1.4346488,0.16974618,0.87302047,0.38112548,-0.01430025,-0.011794371,-0.0021671336,0.35628596,-0.014619542,0.4749931,1.1848644,-0.020348907,1.0508741
