,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
A2M,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ABCA3,1.3946742,-0.022655874,0.6661938,0.64601344,-0.019384641,-0.008034056,0.6784773,2.2764227,-0.027240228,-0.03443405,-0.0026611283,2.1614032,1.1651657,1.4507954,-0.0009890946,-0.0018357891
ABCA5,1.4858432,-0.023543715,0.7068908,0.55857843,-0.018806776,-0.0072389976,0.6906159,2.0854418,-0.027196279,-0.032130525,-0.002061214,2.150608,1.1790088,1.3634757,-0.0020589253,-0.0013641614
ABCC10,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ABCD2,1.126832,-0.02010549,0.6344025,0.689811,-0.02070656,-0.005213176,0.2975413,1.9111812,-0.030000385,-0.02916305,-0.004811839,2.3534868,1.348174,1.128421,0.09913291,0.055902623
ABCG1,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ABCG2,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ABHD17A,1.341615,-0.023524133,0.81807286,0.63170266,-0.019818472,-0.008723032,0.6229923,2.2128026,-0.028302183,-0.03313144,-0.0025555568,2.2256222,1.367491,1.4789721,-0.001114267,-0.0012814783
ACAD11,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ACBD7,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
