,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
A2M,-0.031475425,1.8559096,-0.008098906,-0.015873782,2.9294841,0.3031222,-0.0035038185,-0.023198618,2.3493445,3.3746789,2.9128296,-0.025719723,-0.009225501,-0.017161364,0.27075028,1.2310655
ABCA3,-0.02865178,2.0470111,-0.00398382,-0.010992918,2.3989716,0.5683776,-0.00034354642,-0.01882079,1.8254774,3.2885199,2.8303719,-0.019622121,-0.0112637235,-0.014684963,0.6694983,0.79910886
ABCA5,-0.031473584,1.8558726,-0.008100149,-0.015874755,2.9293447,0.3031933,-0.0035030162,-0.023198988,2.3494174,3.3747728,2.9127731,-0.025720196,-0.009223476,-0.01716082,0.270736,1.2310636
ABCC10,-0.031475425,1.8559096,-0.008098906,-0.015873782,2.9294841,0.3031222,-0.0035038185,-0.023198618,2.3493445,3.3746789,2.9128296,-0.025719723,-0.009225501,-0.017161364,0.27075028,1.2310655
ABCD2,-0.031467874,1.8566695,-0.008086521,-0.01586074,2.9296646,0.30242714,-0.0035120873,-0.023198945,2.349007,3.37293,2.9140284,-0.025701502,-0.009232426,-0.017166106,0.27152255,1.2314482
ABCG1,-0.031475425,1.8559096,-0.008098906,-0.015873782,2.9294841,0.3031222,-0.0035038185,-0.023198618,2.3493445,3.3746789,2.9128296,-0.025719723,-0.009225501,-0.017161364,0.27075028,1.2310655
ABCG2,-0.031475425,1.8559096,-0.008098906,-0.015873782,2.9294841,0.3031222,-0.0035038185,-0.023198618,2.3493445,3.3746789,2.9128296,-0.025719723,-0.009225501,-0.017161364,0.27075028,1.2310655
ABHD17A,-0.031436212,1.8576927,-0.0080937,-0.015873253,2.93173,0.30488384,-0.0035223328,-0.023213731,2.3471658,3.3759122,2.910639,-0.025697116,-0.009254335,-0.017129479,0.27206534,1.2302688
ACAD11,-0.031475425,1.8559096,-0.008098906,-0.015873782,2.9294841,0.3031222,-0.0035038185,-0.023198618,2.3493445,3.3746789,2.9128296,-0.025719723,-0.009225501,-0.017161364,0.27075028,1.2310655
ACBD7,-0.031475425,1.8559096,-0.008098906,-0.015873782,2.9294841,0.3031222,-0.0035038185,-0.023198618,2.3493445,3.3746789,2.9128296,-0.025719723,-0.009225501,-0.017161364,0.27075028,1.2310655
ACOT6,-0.031475425,1.8559096,-0.008098906,-0.015873782,2.9294841,0.3031222,-0.0035038185,-0.023198618,2.3493445,3.3746789,2.9128296,-0.025719723,-0.009225501,-0.017161364,0.27075028,1.2310655
