TF_idx,Target_idx,Label,Score,TF_name,Target_name
482,604,1,0.997355,GATA3,IFNG
482,886,1,0.997355,GATA3,LRIG1
482,432,1,0.997355,GATA3,FBXO16
482,312,1,0.997355,GATA3,DCDC2
482,2,1,0.997355,GATA3,ABCA5
482,278,1,0.997355,GATA3,CRADD
482,1021,1,0.997355,GATA3,NCAM2
482,104,1,0.997355,GATA3,B4GALNT3
482,598,1,0.997355,GATA3,ICOS
482,451,1,0.997355,GATA3,FILIP1L
482,909,1,0.99735475,GATA3,MAF
482,1295,1,0.9973544,GATA3,RGS3
482,1167,1,0.9973533,GATA3,PLA2G6
482,570,1,0.99735236,GATA3,HIVEP3
482,49,1,0.9932214,GATA3,ANK3
1546,1261,0,0.52051765,TCF7L1,RABEP2
909,1574,0,0.5132628,MAF,TLN2
909,284,0,0.49298504,MAF,CRTAM
1541,49,1,0.49297735,TBX21,ANK3
1791,1534,0,0.49297,ZNF143,TBC1D4
1396,1531,1,0.4921879,SIX5,TBC1D17
362,1531,0,0.49218038,EBF1,TBC1D17
909,603,0,0.49070856,MAF,IFIT2
1460,15,0,0.49018177,SOX6,ADAM12
1460,166,0,0.49017042,SOX6,CADM1
399,1249,0,0.48953992,ESR2,PTPRK
399,89,1,0.489539,ESR2,ATG4D
1462,1056,1,0.48930055,SP4,NMT2
383,487,0,0.48928708,EOMES,GCNT4
909,70,0,0.48928708,MAF,ARHGAP24
383,886,1,0.48928708,EOMES,LRIG1
383,362,0,0.48928708,EOMES,EBF1
909,1515,0,0.48928708,MAF,SYDE2
383,58,0,0.48928663,EOMES,ANO10
1456,1020,0,0.48927957,SOX13,NCAM1
1456,1364,1,0.48927957,SOX13,SERPINA1
1039,207,0,0.4892772,NFATC1,CD79A
1039,638,1,0.4892772,NFATC1,IL2
1039,1722,0,0.4892772,NFATC1,UST
1845,1367,0,0.4892751,ZNF83,SERPINE1
1541,522,1,0.48927426,TBX21,GRAP2
1541,604,1,0.4892742,TBX21,IFNG
1541,1021,0,0.4892742,TBX21,NCAM2
1541,1387,0,0.4892742,TBX21,SHPRH
1541,633,1,0.4892742,TBX21,IL12RB2
1094,629,1,0.48927328,ONECUT1,IKZF2
1473,1017,0,0.48927328,SPIB,NBEA
1396,1515,0,0.48927328,SIX5,SYDE2
1546,705,0,0.48927328,TCF7L1,KLHDC4
1396,207,0,0.48927328,SIX5,CD79A
1473,479,0,0.48927328,SPIB,GAS2
108,63,0,0.48927328,BATF,APBB2
1845,1573,0,0.48927283,ZNF83,TLE1
1094,166,1,0.48927283,ONECUT1,CADM1
1791,960,0,0.48926958,ZNF143,MICAL3
1791,1005,0,0.48926854,ZNF143,MUS81
1791,1498,0,0.48926854,ZNF143,STMN3
1791,1364,0,0.48926854,ZNF143,SERPINA1
1791,1812,0,0.48926854,ZNF143,ZNF507
1458,550,1,0.48920852,SOX4,HDAC8
1288,903,1,0.48692045,REST,LTBP4
1288,1134,0,0.48692045,REST,PDE4D
1288,1682,0,0.48692045,REST,TTC39B
1288,588,0,0.48692045,REST,HPN
1288,1498,1,0.48692045,REST,STMN3
1120,1461,1,0.4864644,PAX5,SP140
1120,283,0,0.4864644,PAX5,CRISPLD1
1120,705,1,0.4864644,PAX5,KLHDC4
