TF_idx,Target_idx,Label,Score,TF_name,Target_name
482,1167,1,0.9925257,GATA3,PLA2G6
482,570,1,0.9923832,GATA3,HIVEP3
482,604,1,0.992378,GATA3,IFNG
482,886,1,0.992378,GATA3,LRIG1
482,1295,1,0.992378,GATA3,RGS3
482,451,1,0.992378,GATA3,FILIP1L
482,312,1,0.992378,GATA3,DCDC2
482,2,1,0.992378,GATA3,ABCA5
482,278,1,0.992378,GATA3,CRADD
482,1021,1,0.992378,GATA3,NCAM2
482,104,1,0.99237764,GATA3,B4GALNT3
482,909,1,0.9923765,GATA3,MAF
482,432,1,0.9923733,GATA3,FBXO16
482,49,1,0.99237204,GATA3,ANK3
482,598,1,0.98652065,GATA3,ICOS
1791,1812,0,0.4783006,ZNF143,ZNF507
1791,1005,0,0.4771197,ZNF143,MUS81
1791,1498,0,0.4771186,ZNF143,STMN3
1791,1534,0,0.4771147,ZNF143,TBC1D4
1791,960,0,0.4771147,ZNF143,MICAL3
1791,1364,0,0.4771147,ZNF143,SERPINA1
1541,1387,0,0.4729357,TBX21,SHPRH
1546,1261,0,0.47147614,TCF7L1,RABEP2
1460,15,0,0.46868968,SOX6,ADAM12
383,58,0,0.46738666,EOMES,ANO10
1039,1722,0,0.46695566,NFATC1,UST
1462,1056,1,0.46685046,SP4,NMT2
909,1574,0,0.46684587,MAF,TLN2
1039,638,1,0.46683985,NFATC1,IL2
383,886,1,0.46683913,EOMES,LRIG1
909,1515,0,0.46683913,MAF,SYDE2
909,70,0,0.46683913,MAF,ARHGAP24
909,603,0,0.46683913,MAF,IFIT2
909,284,0,0.46683913,MAF,CRTAM
1458,550,1,0.46683913,SOX4,HDAC8
383,362,0,0.46683913,EOMES,EBF1
383,487,0,0.46683913,EOMES,GCNT4
1039,207,0,0.4668295,NFATC1,CD79A
1541,49,1,0.46681896,TBX21,ANK3
362,1531,0,0.46681824,EBF1,TBC1D17
1456,1020,0,0.46681818,SOX13,NCAM1
1541,1021,0,0.46681818,TBX21,NCAM2
1094,629,1,0.46681818,ONECUT1,IKZF2
1845,1573,0,0.46681818,ZNF83,TLE1
1541,522,1,0.46681818,TBX21,GRAP2
1541,633,1,0.46681818,TBX21,IL12RB2
1456,1364,1,0.46681818,SOX13,SERPINA1
1396,1531,1,0.46681818,SIX5,TBC1D17
1396,1515,0,0.46681818,SIX5,SYDE2
1094,166,1,0.46681818,ONECUT1,CADM1
1541,604,1,0.46681818,TBX21,IFNG
1845,1367,0,0.46681818,ZNF83,SERPINE1
1546,705,0,0.46681818,TCF7L1,KLHDC4
1473,1017,0,0.46681756,SPIB,NBEA
1473,479,0,0.4668169,SPIB,GAS2
1460,166,0,0.46681273,SOX6,CADM1
108,63,0,0.46681023,BATF,APBB2
1396,207,0,0.46680862,SIX5,CD79A
399,89,1,0.46578464,ESR2,ATG4D
399,1249,0,0.46578464,ESR2,PTPRK
1120,705,1,0.4627787,PAX5,KLHDC4
1120,1461,1,0.4627787,PAX5,SP140
1120,283,0,0.46274644,PAX5,CRISPLD1
1288,1498,1,0.46114978,REST,STMN3
1288,1134,0,0.4611445,REST,PDE4D
1288,1682,0,0.4611445,REST,TTC39B
1288,588,0,0.4611445,REST,HPN
1288,903,1,0.4611445,REST,LTBP4
