TF_idx,Target_idx,Label,Score,TF_name,Target_name
482,1477,0,0.99948704,GATA3,SPON2
482,278,1,0.99948704,GATA3,CRADD
482,604,1,0.99948704,GATA3,IFNG
482,312,1,0.99948704,GATA3,DCDC2
482,886,1,0.99948704,GATA3,LRIG1
482,432,1,0.99948704,GATA3,FBXO16
482,570,1,0.99948704,GATA3,HIVEP3
482,1167,1,0.99948704,GATA3,PLA2G6
482,1584,0,0.99948704,GATA3,TMEM181
482,1295,1,0.99948704,GATA3,RGS3
482,1059,0,0.99948704,GATA3,NOL4L
482,104,1,0.99948704,GATA3,B4GALNT3
482,49,1,0.99948704,GATA3,ANK3
482,917,0,0.99948704,GATA3,MAMSTR
482,598,1,0.99948704,GATA3,ICOS
482,451,1,0.99948704,GATA3,FILIP1L
482,2,1,0.99948704,GATA3,ABCA5
482,909,1,0.9994868,GATA3,MAF
482,1021,1,0.9992902,GATA3,NCAM2
383,482,0,0.5074313,EOMES,GATA3
1094,482,0,0.5074237,ONECUT1,GATA3
1208,482,0,0.5058318,PRDM1,GATA3
362,1208,0,0.5026983,EBF1,PRDM1
1094,1531,0,0.47912157,ONECUT1,TBC1D17
1396,1531,1,0.47907364,SIX5,TBC1D17
1458,1364,0,0.47590506,SOX4,SERPINA1
1456,1364,1,0.4758962,SOX13,SERPINA1
383,197,0,0.46999538,EOMES,CCSER1
1460,197,0,0.46997425,SOX6,CCSER1
1396,58,0,0.46981707,SIX5,ANO10
1456,166,0,0.4537846,SOX13,CADM1
1094,166,1,0.4537846,ONECUT1,CADM1
1845,1367,0,0.44994628,ZNF83,SERPINE1
1845,1073,0,0.44994456,ZNF83,NRCAM
1845,604,0,0.44994456,ZNF83,IFNG
1845,1116,0,0.44994456,ZNF83,PARP15
1845,1617,0,0.44994456,ZNF83,TPD52
1845,44,0,0.44994456,ZNF83,ALOX5AP
1845,1049,0,0.44994456,ZNF83,NKD1
1845,1285,0,0.44994456,ZNF83,RCAN3
1845,127,0,0.44994456,ZNF83,BMPER
1845,362,0,0.44994456,ZNF83,EBF1
1845,890,0,0.44994456,ZNF83,LRP5
1845,935,0,0.44994456,ZNF83,MBNL3
1845,1682,0,0.44994456,ZNF83,TTC39B
1845,923,0,0.44994456,ZNF83,MAP3K14
1845,1387,0,0.44994456,ZNF83,SHPRH
1845,1491,0,0.44994456,ZNF83,ST8SIA6
1845,200,0,0.44994456,ZNF83,CD226
1845,1167,0,0.44994456,ZNF83,PLA2G6
1845,1793,0,0.449943,ZNF83,ZNF221
108,284,0,0.4498005,BATF,CRTAM
108,1211,0,0.44976965,BATF,PRF1
108,975,0,0.44976774,BATF,MLLT3
108,954,0,0.44976357,BATF,MGA
108,888,0,0.44976357,BATF,LRP1B
108,388,0,0.44976357,BATF,EPHA7
108,1461,0,0.44976357,BATF,SP140
108,931,0,0.44976357,BATF,MAST4
108,1601,0,0.44976357,BATF,TNF
108,1372,0,0.4497623,BATF,SFXN1
220,1176,0,0.44958863,CEBPD,PLEKHA5
1541,1176,0,0.4495679,TBX21,PLEKHA5
1462,901,0,0.44709092,SP4,LTBP1
1039,901,0,0.4470796,NFATC1,LTBP1
1791,901,0,0.44706902,ZNF143,LTBP1
399,705,0,0.44680032,ESR2,KLHDC4
399,1402,0,0.44663522,ESR2,SLC14A1
399,1111,0,0.44663298,ESR2,PAM
399,1553,0,0.44663298,ESR2,TENM2
399,283,0,0.44663298,ESR2,CRISPLD1
399,89,1,0.44663298,ESR2,ATG4D
399,1722,0,0.44663298,ESR2,UST
399,598,0,0.44663298,ESR2,ICOS
399,432,0,0.44663298,ESR2,FBXO16
399,63,0,0.44663298,ESR2,APBB2
399,61,0,0.44663298,ESR2,AP3B2
399,208,0,0.44663298,ESR2,CD8A
1458,487,0,0.44657454,SOX4,GCNT4
1462,1017,0,0.44624043,SP4,NBEA
909,1017,0,0.44624043,MAF,NBEA
383,1017,0,0.44624043,EOMES,NBEA
1039,1021,0,0.44623274,NFATC1,NCAM2
1456,487,0,0.4462207,SOX13,GCNT4
1791,1017,0,0.44621888,ZNF143,NBEA
220,1766,0,0.44489524,CEBPD,ZC3H12D
1462,705,0,0.44489485,SP4,KLHDC4
1458,1367,0,0.44489446,SOX4,SERPINE1
1458,909,0,0.44489366,SOX4,MAF
1458,164,0,0.44489267,SOX4,CACNA1H
1458,642,0,0.44489267,SOX4,IL6
1458,1015,0,0.44489267,SOX4,NAV3
1458,1059,0,0.44489267,SOX4,NOL4L
1458,550,1,0.44489267,SOX4,HDAC8
1458,1099,0,0.44489267,SOX4,OSBPL3
1458,437,0,0.44489267,SOX4,FCER2
1458,902,0,0.44489267,SOX4,LTBP3
1458,1584,0,0.44489267,SOX4,TMEM181
1458,451,0,0.44489267,SOX4,FILIP1L
1458,1812,0,0.44489267,SOX4,ZNF507
1458,903,0,0.44489267,SOX4,LTBP4
1458,1722,0,0.44489267,SOX4,UST
1458,1296,0,0.44488385,SOX4,RGS6
1791,1766,0,0.44487438,ZNF143,ZC3H12D
1546,1766,0,0.44487438,TCF7L1,ZC3H12D
1541,705,0,0.444874,TBX21,KLHDC4
1396,1766,0,0.44487238,SIX5,ZC3H12D
909,1247,0,0.44464543,MAF,PTPN7
1039,1247,0,0.44463527,NFATC1,PTPN7
1396,284,0,0.44453865,SIX5,CRTAM
1462,1411,0,0.4445363,SP4,SLC24A3
383,1372,0,0.44453442,EOMES,SFXN1
909,1367,0,0.4445342,MAF,SERPINE1
383,1172,0,0.44453347,EOMES,PLCL1
220,909,0,0.44453338,CEBPD,MAF
383,391,0,0.44453254,EOMES,ERBB2
909,391,0,0.44453254,MAF,ERBB2
220,1793,0,0.44453248,CEBPD,ZNF221
220,1335,0,0.4445324,CEBPD,RUBCNL
220,1551,0,0.4445324,CEBPD,TECR
220,935,0,0.4445324,CEBPD,MBNL3
220,1576,0,0.4445324,CEBPD,TMC6
220,522,0,0.4445324,CEBPD,GRAP2
220,1491,0,0.4445324,CEBPD,ST8SIA6
220,638,0,0.4445324,CEBPD,IL2
220,1440,0,0.4445324,CEBPD,SMAD7
1462,1056,1,0.44453233,SP4,NMT2
1462,1584,0,0.44453233,SP4,TMEM181
1462,691,0,0.44453233,SP4,KIF21A
383,1335,0,0.44453233,EOMES,RUBCNL
1462,89,0,0.44453233,SP4,ATG4D
383,902,0,0.44453233,EOMES,LTBP3
909,1682,0,0.44453233,MAF,TTC39B
909,1005,0,0.44453233,MAF,MUS81
383,604,0,0.44453233,EOMES,IFNG
383,207,0,0.44453233,EOMES,CD79A
1462,225,0,0.44453233,SP4,CEP128
1462,1472,0,0.44453233,SP4,SPEF2
1462,522,0,0.44453233,SP4,GRAP2
1462,1553,0,0.44453233,SP4,TENM2
909,1519,0,0.44453233,MAF,SYNJ2
909,1049,0,0.44453233,MAF,NKD1
383,639,0,0.44453233,EOMES,IL21R
909,1295,0,0.44453233,MAF,RGS3
909,1387,0,0.44453233,MAF,SHPRH
383,1601,0,0.44453233,EOMES,TNF
909,1576,0,0.44453233,MAF,TMC6
1462,1620,0,0.44453233,SP4,TRABD2A
1462,902,0,0.44453233,SP4,LTBP3
1462,1551,0,0.44453233,SP4,TECR
1462,1116,0,0.44453233,SP4,PARP15
383,1617,0,0.44453233,EOMES,TPD52
909,915,0,0.44453233,MAF,MAML3
383,991,0,0.44453233,EOMES,MRTFB
1462,1601,0,0.44453233,SP4,TNF
383,1099,0,0.44453233,EOMES,OSBPL3
383,886,1,0.44453233,EOMES,LRIG1
1462,2,0,0.44453233,SP4,ABCA5
1039,1601,0,0.4445222,NFATC1,TNF
1039,672,0,0.4445222,NFATC1,KALRN
1039,935,0,0.4445222,NFATC1,MBNL3
1039,642,0,0.4445222,NFATC1,IL6
1039,638,1,0.4445222,NFATC1,IL2
1039,1461,0,0.4445222,NFATC1,SP140
1039,345,0,0.4445222,NFATC1,DNAJC6
1039,1440,0,0.4445222,NFATC1,SMAD7
1039,603,0,0.4445222,NFATC1,IFIT2
1039,278,0,0.4445222,NFATC1,CRADD
1039,1167,0,0.4445222,NFATC1,PLA2G6
1039,1116,0,0.4445222,NFATC1,PARP15
1791,1411,0,0.4445141,ZNF143,SLC24A3
1541,1411,0,0.4445141,TBX21,SLC24A3
1456,1211,0,0.4445136,SOX13,PRF1
1473,1211,0,0.4445136,SPIB,PRF1
362,1003,0,0.4445136,EBF1,MTSS1
362,1402,0,0.4445135,EBF1,SLC14A1
1460,1402,0,0.4445135,SOX6,SLC14A1
1546,1372,0,0.4445122,TCF7L1,SFXN1
1791,1367,0,0.44451198,ZNF143,SERPINE1
1473,1172,0,0.44451123,SPIB,PLCL1
1473,279,0,0.44451115,SPIB,CREB5
1460,279,0,0.44451115,SOX6,CREB5
1460,1793,0,0.44451028,SOX6,ZNF221
1541,633,1,0.44451028,TBX21,IL12RB2
1541,736,0,0.44451028,TBX21,LDB2
362,345,0,0.4445102,EBF1,DNAJC6
1473,588,0,0.4445102,SPIB,HPN
1473,454,0,0.4445102,SPIB,FLNB
1473,923,0,0.4445102,SPIB,MAP3K14
362,639,0,0.4445102,EBF1,IL21R
1546,1440,0,0.4445102,TCF7L1,SMAD7
1456,1111,0,0.4445102,SOX13,PAM
1546,345,0,0.4445102,TCF7L1,DNAJC6
1094,598,0,0.4445102,ONECUT1,ICOS
362,1387,0,0.4445102,EBF1,SHPRH
1456,1617,0,0.4445102,SOX13,TPD52
1456,640,0,0.4445102,SOX13,IL2RA
1460,451,0,0.4445102,SOX6,FILIP1L
1094,629,1,0.4445102,ONECUT1,IKZF2
1473,935,0,0.4445102,SPIB,MBNL3
1460,1073,0,0.4445102,SOX6,NRCAM
1456,362,0,0.4445102,SOX13,EBF1
1460,432,0,0.4445102,SOX6,FBXO16
1791,1682,0,0.4445102,ZNF143,TTC39B
1546,454,0,0.4445102,TCF7L1,FLNB
1473,1519,0,0.4445102,SPIB,SYNJ2
1094,1387,0,0.4445102,ONECUT1,SHPRH
1094,604,0,0.4445102,ONECUT1,IFNG
362,297,0,0.4445102,EBF1,CUBN
1546,475,0,0.4445102,TCF7L1,GALM
1791,629,0,0.4445102,ZNF143,IKZF2
1094,462,0,0.4445102,ONECUT1,FOXC1
1456,1250,0,0.4445102,SOX13,PTPRM
1094,1056,0,0.4445102,ONECUT1,NMT2
1473,551,0,0.4445102,SPIB,HDAC9
1541,1682,0,0.4445102,TBX21,TTC39B
362,225,0,0.4445102,EBF1,CEP128
1094,1049,0,0.4445102,ONECUT1,NKD1
1546,1293,0,0.4445102,TCF7L1,RGS10
1456,1099,0,0.4445102,SOX13,OSBPL3
1460,462,0,0.4445102,SOX6,FOXC1
1460,874,0,0.4445102,SOX6,LINGO2
1460,1498,0,0.4445102,SOX6,STMN3
362,1005,0,0.4445102,EBF1,MUS81
1456,903,0,0.4445102,SOX13,LTBP4
1456,451,0,0.4445102,SOX13,FILIP1L
362,2,0,0.4445102,EBF1,ABCA5
1094,297,0,0.4445102,ONECUT1,CUBN
1456,1481,0,0.4445102,SOX13,SPTBN1
362,44,0,0.4445102,EBF1,ALOX5AP
362,1508,0,0.4445102,EBF1,SULF2
1791,886,0,0.4445102,ZNF143,LRIG1
1460,639,0,0.4445102,SOX6,IL21R
1473,1015,0,0.4445102,SPIB,NAV3
1473,437,0,0.4445102,SPIB,FCER2
1541,49,1,0.4445102,TBX21,ANK3
1541,522,1,0.4445102,TBX21,GRAP2
362,1517,0,0.4445102,EBF1,SYNE1
1541,2,0,0.4445102,TBX21,ABCA5
1541,874,0,0.4445102,TBX21,LINGO2
1094,1219,0,0.4445102,ONECUT1,PRKN
1460,1249,0,0.4445102,SOX6,PTPRK
1460,15,0,0.4445102,SOX6,ADAM12
1791,1056,0,0.4445102,ZNF143,NMT2
1791,1134,0,0.4445102,ZNF143,PDE4D
1473,1114,0,0.4445102,SPIB,PARD6B
1460,1440,0,0.4445102,SOX6,SMAD7
362,640,0,0.4445102,EBF1,IL2RA
1791,640,0,0.4445102,ZNF143,IL2RA
1456,1812,0,0.4445102,SOX13,ZNF507
1541,327,0,0.4445102,TBX21,DIP2C
1546,1126,0,0.4445102,TCF7L1,PCDH9
1473,207,0,0.4445102,SPIB,CD79A
1094,954,0,0.4445102,ONECUT1,MGA
1094,164,0,0.4445102,ONECUT1,CACNA1H
1546,1005,0,0.4445102,TCF7L1,MUS81
1541,604,1,0.4445102,TBX21,IFNG
1546,388,0,0.4445102,TCF7L1,EPHA7
1473,1508,0,0.4445102,SPIB,SULF2
1473,1601,0,0.4445102,SPIB,TNF
362,1576,0,0.4445102,EBF1,TMC6
1460,1574,0,0.44451,SOX6,TLN2
1094,479,0,0.44450822,ONECUT1,GAS2
1396,391,0,0.44450647,SIX5,ERBB2
1396,297,0,0.44450635,SIX5,CUBN
1396,437,0,0.44450635,SIX5,FCER2
1396,127,0,0.44450635,SIX5,BMPER
1396,1812,0,0.44450635,SIX5,ZNF507
1396,1679,0,0.44450635,SIX5,TTC28
1396,312,0,0.44450635,SIX5,DCDC2
1396,1440,0,0.44450635,SIX5,SMAD7
1396,1481,0,0.44450635,SIX5,SPTBN1
1396,225,0,0.44450635,SIX5,CEP128
1396,954,0,0.44450635,SIX5,MGA
1396,89,0,0.44450635,SIX5,ATG4D
1396,609,0,0.44450635,SIX5,IFT88
1460,1296,0,0.44450116,SOX6,RGS6
1336,1523,0,0.4412946,RUNX2,SYTL2
1336,1682,0,0.44129112,RUNX2,TTC39B
1336,1249,0,0.44129112,RUNX2,PTPRK
1336,1056,0,0.44129112,RUNX2,NMT2
1336,1534,0,0.44129112,RUNX2,TBC1D4
1336,931,0,0.44129112,RUNX2,MAST4
1336,638,0,0.44129112,RUNX2,IL2
1120,1021,0,0.4395958,PAX5,NCAM2
1120,705,1,0.43868902,PAX5,KLHDC4
1120,1270,0,0.43775865,PAX5,RALGDS
1120,1793,0,0.43771106,PAX5,ZNF221
1120,1265,0,0.43770927,PAX5,RAD23B
1120,1534,0,0.43770927,PAX5,TBC1D4
1120,200,0,0.43770927,PAX5,CD226
1120,1461,1,0.43770927,PAX5,SP140
1120,70,0,0.43770927,PAX5,ARHGAP24
1120,1387,0,0.43770927,PAX5,SHPRH
1120,345,0,0.43770927,PAX5,DNAJC6
1120,479,0,0.43770903,PAX5,GAS2
1288,1402,0,0.43644822,REST,SLC14A1
1288,1498,1,0.43644273,REST,STMN3
1288,1460,0,0.43644273,REST,SOX6
1288,87,0,0.43644273,REST,ATF7IP2
1288,1529,0,0.43644273,REST,TANC1
1288,1401,0,0.43644273,REST,SLAMF7
1288,640,0,0.43644273,REST,IL2RA
1288,903,1,0.43644273,REST,LTBP4
1288,1573,0,0.43644273,REST,TLE1
1288,1167,0,0.43644273,REST,PLA2G6
1288,1519,0,0.43644273,REST,SYNJ2
1288,1472,0,0.43644273,REST,SPEF2
1288,1056,0,0.43644273,REST,NMT2
1288,1553,0,0.43644273,REST,TENM2
1288,1620,0,0.43644273,REST,TRABD2A
1288,44,0,0.43644273,REST,ALOX5AP
1288,1722,0,0.43644273,REST,UST
1288,327,0,0.43644273,REST,DIP2C
1288,886,0,0.43644273,REST,LRIG1
1288,48,0,0.43644273,REST,ANK1
1288,691,0,0.43644273,REST,KIF21A
1288,1335,0,0.43644273,REST,RUBCNL
1496,1172,0,0.4321437,STAT5B,PLCL1
1496,1049,0,0.43214208,STAT5B,NKD1
1496,1472,0,0.43214208,STAT5B,SPEF2
1496,48,0,0.43214208,STAT5B,ANK1
1496,1293,0,0.43214208,STAT5B,RGS10
1496,603,0,0.43214208,STAT5B,IFIT2
1496,70,0,0.43214208,STAT5B,ARHGAP24
1496,312,0,0.43214208,STAT5B,DCDC2
1496,1491,0,0.43214208,STAT5B,ST8SIA6
1496,200,0,0.43214208,STAT5B,CD226
1208,284,0,0.42668143,PRDM1,CRTAM
1208,1793,0,0.426651,PRDM1,ZNF221
1208,1411,0,0.4266507,PRDM1,SLC24A3
1208,1372,0,0.4266448,PRDM1,SFXN1
1208,1477,0,0.4266435,PRDM1,SPON2
1208,1461,0,0.4266435,PRDM1,SP140
1208,609,0,0.4266435,PRDM1,IFT88
1208,1295,0,0.4266435,PRDM1,RGS3
1208,630,0,0.4266435,PRDM1,IKZF3
1208,353,0,0.4266435,PRDM1,DTNB
1208,475,0,0.4266435,PRDM1,GALM
1208,954,0,0.4266435,PRDM1,MGA
1208,345,0,0.4266435,PRDM1,DNAJC6
1208,1519,0,0.4266435,PRDM1,SYNJ2
1208,48,0,0.4266435,PRDM1,ANK1
1208,326,0,0.4266435,PRDM1,DIAPH3
1208,629,0,0.4266435,PRDM1,IKZF2
1208,1481,0,0.4266435,PRDM1,SPTBN1
1208,1219,0,0.4266435,PRDM1,PRKN
1208,1786,0,0.4266435,PRDM1,ZMYND8
1208,1812,0,0.4266435,PRDM1,ZNF507
1208,598,0,0.4266435,PRDM1,ICOS
1208,551,0,0.4266435,PRDM1,HDAC9
1208,1573,0,0.4266435,PRDM1,TLE1
